策略分组,标的,近252日年化波动率_%,近252日日均成交额,近20日收益_%,近60日收益_%,收盘相对SMA50_%,历史交易日数,交易数,胜率 (%),盈利因子,最大回撤 (%),累计收益率 (%)
高流动性－低波动,FCNCA,27.597839387315755,192640531.78710938,2.4381770193260044,3.728519106329675,4.0571302429214695,2514,19,31.58,3.34,-8.69,66.46150000000002
高流动性－低波动,FELE,27.724929892816352,23788928.427886963,1.401158115765,6.82438555260696,3.971302109578545,2514,11,27.27,0.221,-15.18,-13.436399999999992
高流动性－低波动,FER,24.42394157084235,78157537.8730774,-8.133488831016301,-9.06620924484487,-5.696752636752766,2514,7,42.86,3.001,-2.36,5.591999999999997
高流动性－低波动,FFBC,25.7024646788513,18020927.713775635,13.00221616890964,22.960420512277736,11.617329947626498,2514,21,33.33,1.799,-15.58,23.759400000000007
高流动性－低波动,FFIN,25.66238405459263,21953660.444259644,7.748630293212688,10.40950280566275,6.178940696913382,2514,12,50.0,3.395,-3.32,16.198599999999995
高流动性－低波动,FFIV,34.416749183199855,205969961.94534302,6.124676766518866,31.467323006770975,4.0399348149777525,2514,14,28.57,1.598,-10.98,15.447800000000012
高流动性－低波动,FHB,24.237330636056303,32024212.787628174,4.869318279597512,9.372666783139817,4.271243887656584,2500,21,19.05,0.9,-13.21,-2.559699999999998
高流动性－低波动,FIBK,28.279217885081138,32596860.13622284,7.548723516231459,13.631092880909645,6.662166117046664,2514,16,50.0,2.574,-5.62,23.021500000000007
高流动性－低波动,FIVE,39.508528281317034,196216773.11706543,4.416163780292304,-15.651663619630252,0.7141421398723313,2514,24,20.83,0.367,-26.41,-25.456599999999995
高流动性－低波动,FIZZ,29.746486439985432,9241529.981994629,-14.384130859775347,-6.3027749161796205,-9.981690122892207,2514,19,21.05,2.848,-10.17,60.57749999999999
高流动性－低波动,FLYW,48.562712299463016,22066996.442222595,14.384849996359783,29.499994005475717,10.18864632668588,1291,4,25.0,3.206,-4.11,16.543700000000005
